brain_region,measurement,standard_deviation,measurement_type,measurement_unit,cell_type,source_title,comment,specimen_age,Unnamed: 0,,,,
Basic cell groups and regions,5915.846494617745,533.3302278386232,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Cerebrum,2432.2792769563275,213.2652373270137,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Cerebral cortex,2876.9610845218317,237.0925271619661,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
auditory areas,2966.564691132756,243.65960135889617,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Isocortex,4248.8678047125595,334.4876782870235,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Frontal pole, cerebral cortex",895.8372603257179,132.05381641971496,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Frontal pole, layer 1",557.4256489925306,137.2342679167538,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Frontal pole, layer 2/3",2585.21234844887,209.35834573836135,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Somatomotor areas,3845.3277814811318,314.6762999086375,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Primary motor area,3969.9070195791264,332.24464225320156,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary motor area, layer 1",123.8954019544004,43.86927720350744,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary motor area, layer 2/3",3992.0631956045963,350.57449129924595,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary motor area, layer 5",6270.169739825986,488.0011997654324,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Secondary motor area,3680.3675865900705,299.6128094268324,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Secondary motor area, layer 1",240.4674426168361,48.923152133684916,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Secondary motor area, layer 2/3",3731.7109770615016,327.69042424727525,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Secondary motor area, layer 5",5811.522416239232,450.0165614015308,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Somatosensory areas,5392.4984336467905,436.7779278290822,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Primary somatosensory area,5517.77396145371,454.816735870977,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, layer 1",83.58729368560782,35.87861261789159,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, layer 2/3",3511.278587269302,368.9598545698792,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, layer 4",7524.097472150512,621.8542704733967,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, layer 5",7406.117130831872,522.0125143958664,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, nose",6026.549205176401,492.7217450660005,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, nose, layer 1",267.12138459578284,80.66293498412739,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, nose, layer 2/3",4901.548596336104,499.82066387317445,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, nose, layer 4",12144.53656941916,1080.438486915643,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, nose, layer 5",10022.406412855518,735.9702804182186,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, barrel field",5827.0660445648655,442.7786469527282,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, barrel field, layer 1",201.63665195567734,46.98423888145745,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, barrel field, layer 2/3",4010.088673035698,328.581572651544,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, barrel field, layer 4",10802.381747705189,824.9363443682528,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, barrel field, layer 5",10599.903179870134,734.9338413788375,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, lower limb",5226.895079946409,520.7934781054411,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, lower limb, layer 1",187.75548459085556,88.29552113112783,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, lower limb, layer 2/3",3868.9541273374175,401.8540033095841,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, lower limb, layer 4",9656.642505707901,990.1099575697074,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, lower limb, layer 5",8176.198737458745,849.0858359659876,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, mouth",5462.536449647531,441.44228060983295,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, mouth, layer 1",191.378884023762,58.13927210947949,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
